,TrainA,TrainB,TrainC,TrainHC,Crews,Crew Wages,Demurrage Fees,Total Cost
360,7,17,13,-1,1,198000,0,198000
361,5,17,16,11,2,360000,120000,480000
362,14,12,5,-1,2,276000,30000,306000
363,19,8,7,-1,2,255000,15000,270000
364,6,11,19,-1,1,198000,0,198000
365,13,9,7,-1,2,243000,0,243000
366,15,19,18,-1,2,177000,15000,192000
367,5,12,18,-1,2,252000,15000,267000
368,18,8,19,12,2,336000,75000,411000
369,18,13,19,-1,2,228000,15000,243000
370,18,17,8,-1,2,246000,15000,261000
371,14,16,19,-1,2,180000,0,180000
372,13,15,18,-1,2,234000,0,234000
373,8,9,14,-1,2,300000,30000,330000
374,8,17,15,-1,2,216000,0,216000
375,15,7,5,13,2,360000,160000,520000
376,18,6,11,-1,1,216000,0,216000
377,6,17,14,-1,2,252000,0,252000
378,20,7,6,-1,2,264000,15000,279000
379,17,16,18,-1,2,180000,30000,210000
380,9,20,8,-1,2,264000,15000,279000
381,7,16,18,-1,2,252000,0,252000
382,15,18,20,13,2,336000,15000,351000
383,16,11,17,-1,2,264000,15000,279000
384,13,17,16,-1,2,231000,15000,246000
385,12,5,15,-1,2,264000,15000,279000
386,9,12,10,-1,2,261000,30000,291000
387,8,16,19,-1,2,216000,0,216000
388,10,8,18,-1,2,234000,0,234000
389,9,13,16,12,2,348000,135000,483000
390,5,15,9,-1,2,288000,30000,318000
391,19,6,11,-1,1,207000,0,207000
392,16,15,12,-1,2,222000,15000,237000
393,7,16,12,-1,1,216000,0,216000
394,17,13,11,-1,2,225000,0,225000
395,10,18,19,-1,2,246000,15000,261000
396,20,11,10,13,2,372000,105000,477000
397,14,16,11,-1,2,276000,0,276000
398,9,12,18,-1,2,234000,0,234000
399,8,15,16,-1,2,255000,15000,270000
400,10,15,7,-1,2,234000,0,234000
401,13,20,10,-1,2,207000,0,207000
402,9,18,19,-1,2,246000,15000,261000
403,11,6,7,11,2,348000,190000,538000
404,11,20,19,-1,2,210000,15000,225000
405,11,14,18,-1,2,225000,0,225000
406,8,5,19,-1,2,252000,0,252000
407,12,11,16,-1,2,228000,15000,243000
408,14,6,5,-1,2,264000,15000,279000
409,20,19,19,-1,2,138000,15000,153000
410,5,14,10,11,2,372000,345000,717000
411,9,6,16,-1,2,300000,30000,330000
412,14,8,5,-1,2,252000,0,252000
413,11,18,7,-1,1,189000,0,189000
414,5,14,12,-1,2,252000,0,252000
415,14,8,7,-1,2,237000,15000,252000
416,17,9,8,-1,2,228000,15000,243000
417,7,10,6,13,2,384000,215000,599000
418,7,17,19,-1,2,243000,0,243000
419,15,5,10,-1,1,216000,0,216000
420,10,9,11,-1,2,261000,30000,291000
421,8,12,20,-1,1,180000,0,180000
422,19,8,15,-1,1,216000,0,216000
423,12,5,16,-1,1,216000,0,216000
424,15,20,8,12,2,360000,60000,420000
425,12,11,10,-1,2,300000,45000,345000
426,6,17,13,-1,1,216000,0,216000
427,7,16,11,-1,1,207000,0,207000
428,13,7,11,-1,2,252000,0,252000
429,11,5,15,-1,1,207000,0,207000
430,5,15,13,-1,2,252000,0,252000
431,12,11,5,12,2,288000,45000,333000
432,5,13,7,-1,2,252000,0,252000
433,20,11,16,-1,1,135000,0,135000
434,11,20,6,-1,1,216000,0,216000
435,20,5,19,-1,2,264000,15000,279000
436,7,5,14,-1,2,252000,0,252000
437,9,18,14,-1,1,180000,0,180000
438,10,9,5,12,2,384000,350000,734000
439,19,7,9,-1,2,264000,15000,279000
440,9,12,16,-1,2,243000,0,243000
441,18,14,11,-1,2,216000,0,216000
442,8,13,13,-1,1,216000,0,216000
443,15,14,8,-1,2,201000,15000,216000
444,17,10,11,-1,2,219000,15000,234000
445,20,16,10,11,2,372000,90000,462000
446,10,14,15,-1,2,276000,30000,306000
447,17,10,9,-1,2,246000,15000,261000
448,9,18,13,-1,1,189000,0,189000
449,5,20,13,-1,1,216000,0,216000
450,20,15,9,-1,1,216000,0,216000
451,14,17,8,-1,2,252000,0,252000
452,14,9,12,11,2,360000,180000,540000
453,13,6,11,-1,2,276000,30000,306000
454,5,9,17,-1,1,216000,0,216000
455,20,10,5,-1,1,216000,0,216000
456,9,11,8,-1,2,270000,30000,300000
457,5,13,11,-1,2,234000,0,234000
458,19,15,8,-1,1,162000,0,162000
459,20,14,12,11,2,372000,105000,477000
460,20,7,14,-1,1,216000,0,216000
461,15,5,16,-1,2,264000,15000,279000
462,7,20,9,-1,2,252000,0,252000
463,15,12,7,-1,2,234000,0,234000
464,14,15,19,-1,2,183000,15000,198000
465,15,19,17,-1,2,240000,0,240000
466,20,13,16,12,2,360000,90000,450000
467,14,17,8,-1,2,252000,0,252000
468,5,19,9,-1,1,207000,0,207000
469,6,17,15,-1,2,234000,0,234000
470,19,10,5,-1,1,207000,0,207000
471,19,9,15,-1,1,180000,0,180000
472,6,14,12,-1,2,264000,15000,279000
473,18,6,8,11,2,360000,165000,525000
474,20,15,17,-1,2,198000,0,198000
475,15,20,16,-1,2,237000,15000,252000
476,13,6,15,-1,2,276000,30000,306000
477,17,8,16,-1,2,255000,15000,270000
478,12,11,9,-1,2,240000,15000,255000
479,20,14,7,-1,1,189000,0,189000
480,13,7,15,11,2,360000,135000,495000
481,14,20,13,-1,2,246000,15000,261000
482,7,11,14,-1,2,276000,30000,306000
483,15,13,16,-1,2,213000,15000,228000
484,18,8,13,-1,1,216000,0,216000
485,18,10,9,-1,2,255000,15000,270000
486,12,10,16,-1,2,216000,0,216000
487,20,17,19,11,2,324000,30000,354000
488,20,16,5,-1,1,198000,0,198000
489,20,16,8,-1,1,216000,0,216000
490,19,12,18,-1,2,228000,15000,243000
491,13,12,19,-1,2,237000,15000,252000
492,18,8,5,-1,2,252000,0,252000
493,15,11,8,-1,2,243000,0,243000
494,11,19,5,11,2,264000,0,264000
495,9,14,18,-1,1,216000,0,216000
496,19,10,20,-1,2,255000,15000,270000
497,5,17,7,-1,2,252000,0,252000
498,10,13,14,-1,2,231000,15000,246000
499,13,15,9,-1,2,225000,0,225000
500,6,18,10,-1,1,216000,0,216000
501,12,13,14,11,2,360000,120000,480000
502,16,15,14,-1,2,252000,30000,282000
503,11,20,6,-1,1,216000,0,216000
504,11,20,5,-1,1,216000,0,216000
505,15,19,18,-1,2,222000,15000,237000
506,10,8,17,-1,2,252000,0,252000
507,18,19,13,-1,2,219000,15000,234000
508,20,7,8,12,2,408000,245000,653000
509,18,12,8,-1,2,252000,15000,267000
510,14,13,6,-1,2,264000,15000,279000
511,12,8,7,-1,2,246000,15000,261000
512,17,14,8,-1,2,216000,0,216000
513,12,8,15,-1,2,234000,0,234000
514,20,7,10,-1,2,243000,0,243000
515,10,8,17,11,2,360000,90000,450000
516,5,8,16,-1,2,252000,0,252000
517,19,20,11,-1,2,228000,15000,243000
518,8,7,15,-1,2,264000,15000,279000
519,12,9,19,-1,2,216000,0,216000
520,10,11,8,-1,2,267000,15000,282000
521,8,13,17,-1,1,171000,0,171000
522,7,18,6,13,2,384000,170000,554000
523,10,12,6,-1,2,300000,45000,345000
524,17,20,12,-1,2,180000,0,180000
525,9,10,18,-1,2,264000,15000,279000
526,10,11,5,-1,2,276000,30000,306000
527,14,10,13,-1,2,213000,15000,228000
528,19,16,15,-1,2,207000,15000,222000
529,19,12,7,13,2,348000,315000,663000
530,20,14,8,-1,1,216000,0,216000
531,12,19,18,-1,2,228000,15000,243000
532,17,16,15,-1,2,234000,30000,264000
533,5,13,16,-1,2,264000,15000,279000
534,17,19,20,-1,2,186000,15000,201000
535,8,19,16,-1,2,252000,0,252000
536,5,9,13,12,2,396000,335000,731000
537,18,17,8,-1,2,264000,15000,279000
538,15,19,16,-1,2,225000,15000,240000
539,13,8,17,-1,2,252000,15000,267000
540,7,6,13,-1,2,264000,15000,279000
541,9,6,10,-1,2,258000,15000,273000
542,12,8,15,-1,2,198000,0,198000
543,5,11,7,12,2,372000,280000,652000
544,18,10,20,-1,2,252000,0,252000
545,12,8,19,-1,1,207000,0,207000
546,5,11,19,-1,1,216000,0,216000
547,6,12,19,-1,1,216000,0,216000
548,6,5,18,-1,2,264000,15000,279000
549,14,19,6,-1,1,207000,0,207000
550,14,9,6,11,2,372000,275000,647000
551,18,10,12,-1,2,252000,0,252000
552,15,11,8,-1,2,243000,0,243000
553,9,11,13,-1,2,249000,0,249000
554,14,10,6,-1,1,198000,0,198000
555,13,8,7,-1,2,255000,15000,270000
556,7,17,8,-1,2,237000,15000,252000
557,7,17,20,13,2,312000,30000,342000
558,8,19,12,-1,1,216000,0,216000
559,16,10,5,-1,1,216000,0,216000
560,15,11,6,-1,1,207000,0,207000
561,7,8,11,-1,2,279000,15000,294000
562,19,13,8,-1,1,162000,0,162000
563,13,5,17,-1,1,216000,0,216000
564,20,19,14,13,2,336000,75000,411000
